TimeSlot,DayOfWeek,CombinedScore
15:00,4,31.914744897959192
15:00,3,31.105500000000063
09:30,0,30.744066937119694
15:00,2,28.982450000000004
15:00,0,28.313410931174033
15:00,1,28.289006024096327
09:30,4,27.36311224489792
09:30,1,27.135943775100493
09:35,0,25.941194331983866
09:30,2,25.635728542914258
09:30,3,25.041899999999977
09:35,4,24.323466257668677
09:45,0,23.929858299595065
09:40,0,23.741599190283395
09:45,4,23.504540816326575
09:35,1,23.468273092369486
09:40,4,22.919836400818006
09:35,2,22.539920159680623
09:45,1,22.453363453815335
09:35,3,22.44609999999998
09:50,4,22.245357142857216
09:40,1,22.050652610441702
09:45,3,22.014600000000037
14:30,4,21.86234693877546
09:40,2,21.841766467065895
10:00,0,21.53729757085025
09:50,0,21.50273279352224
09:45,2,21.448702594810392
10:05,4,21.188979591836706
14:30,0,21.142510121457377
14:30,3,21.11644999999993
10:20,4,20.979948979591782
14:30,2,20.812449999999988
10:00,4,20.72897959183676
09:40,3,20.47604999999995
14:30,1,20.42479919678713
10:15,4,20.251581632653068
15:05,3,20.24969999999995
09:55,4,20.24250000000002
14:00,4,20.18010204081632
09:55,0,20.166902834008035
10:00,1,20.05481927710843
09:55,1,20.036947791164636
09:50,2,20.031287425149696
14:20,4,19.9514795918367
14:15,4,19.941428571428606
14:00,3,19.91150000000002
14:45,4,19.89479591836734
09:50,1,19.846034136546184
15:05,4,19.823979591836668
10:15,0,19.818218623481698
14:25,4,19.786581632653103
10:00,2,19.727195608782385
14:40,2,19.71405000000012
14:35,4,19.664183673469367
14:45,2,19.61294999999999
10:05,0,19.575253036437314
14:40,4,19.570510204081614
15:05,1,19.476305220883532
14:55,3,19.47530000000009
14:05,4,19.432755102040847
14:10,3,19.32704999999998
10:30,4,19.306224489795834
14:15,2,19.276050000000033
09:55,3,19.174250000000093
14:45,3,19.08875000000002
10:00,3,19.05940000000002
14:45,1,19.02158634538153
09:50,3,19.013099999999984
14:25,3,18.96130000000004
14:00,1,18.918524096385617
14:35,2,18.913049999999977
14:10,4,18.910102040816305
14:15,1,18.90200803212847
10:10,4,18.88622448979583
14:45,0,18.85865384615383
14:35,1,18.831777108433677
10:05,2,18.765369261477115
13:30,4,18.760204081632594
14:55,1,18.682379518072327
10:15,1,18.666365461847416
14:00,2,18.662849999999988
13:50,4,18.653724489795895
09:55,2,18.640768463073844
14:40,3,18.640499999999946
15:05,2,18.63215
14:20,1,18.587399598393596
14:15,3,18.566300000000062
10:05,3,18.528799999999986
14:10,2,18.528250000000003
14:20,3,18.516250000000078
14:50,4,18.497397959183633
14:50,1,18.464407630522068
14:35,3,18.450449999999968
14:50,3,18.424149999999944
13:35,4,18.412346938775507
14:55,4,18.3345408163265
10:35,4,18.269030612244876
14:20,0,18.2653340080971
13:30,3,18.25350000000004
14:40,0,18.245951417004033
15:05,0,18.227378542510067
10:05,1,18.20537148594379
15:10,3,18.157450000000004
14:35,0,18.145647773279293
14:15,0,18.13593117408905
14:40,1,18.09226907630527
13:45,4,18.043316326530608
