risk_pct,SL_pct,trailing_buffer,final_balance,net_return_pct,sharpe_ratio,max_drawdown
0.001,0.002,0.001,152098.89389268064,52.09889389268065,0.7025074350212758,-9202.261203931528
0.001,0.002,0.002,152098.89389268064,52.09889389268065,0.7025074350212758,-9202.261203931528
0.001,0.002,0.0015,152098.89389268064,52.09889389268065,0.7025074350212758,-9202.261203931528
0.001,0.0015,0.001,174134.0697348371,74.13406973483711,0.6839933808821167,-13384.757231283584
0.001,0.0015,0.0015,174134.0697348371,74.13406973483711,0.6839933808821167,-13384.757231283584
0.001,0.0015,0.002,174134.0697348371,74.13406973483711,0.6839933808821167,-13384.757231283584
0.001,0.001,0.001,226721.94135479972,126.72194135479971,0.6438235130907072,-26605.504873837024
0.001,0.001,0.0015,226721.94135479972,126.72194135479971,0.6438235130907072,-26605.504873837024
0.001,0.001,0.002,226721.94135479972,126.72194135479971,0.6438235130907072,-26605.504873837024
0.0025,0.002,0.002,274739.9417440391,174.73994174403913,0.6121743300896515,-40848.35817382549
0.0025,0.002,0.0015,274739.9417440391,174.73994174403913,0.6121743300896515,-40848.35817382549
0.0025,0.002,0.001,274739.9417440391,174.73994174403913,0.6121743300896515,-40848.35817382549
0.0025,0.0015,0.002,374269.4005895877,274.2694005895877,0.5591054463345351,-75925.46773773263
0.0025,0.0015,0.0015,374269.4005895877,274.2694005895877,0.5591054463345351,-75925.46773773263
0.0025,0.0015,0.001,374269.4005895877,274.2694005895877,0.5591054463345351,-75925.46773773263
0.0025,0.001,0.001,666719.7376455765,566.7197376455764,0.4606487001713909,-212892.31216948119
0.0025,0.001,0.002,666719.7376455765,566.7197376455764,0.4606487001713909,-212892.31216948119
0.0025,0.001,0.0015,666719.7376455765,566.7197376455764,0.4606487001713909,-212892.31216948119
0.005,0.002,0.002,666719.7376455765,566.7197376455764,0.4606487001713909,-212892.31216948119
0.005,0.002,0.0015,666719.7376455765,566.7197376455764,0.4606487001713909,-212892.31216948119
0.005,0.002,0.001,666719.7376455765,566.7197376455764,0.4606487001713909,-212892.31216948119
0.005,0.0015,0.002,1125438.5165807067,1025.4385165807066,0.37874033136603685,-504201.935627633
0.005,0.0015,0.0015,1125438.5165807067,1025.4385165807066,0.37874033136603685,-504201.935627633
0.005,0.0015,0.001,1125438.5165807067,1025.4385165807066,0.37874033136603685,-504201.935627633
0.005,0.001,0.0015,2737034.3115111217,2637.034311511122,0.2605800235210325,-2054337.5626412383
0.005,0.001,0.001,2737034.3115111217,2637.034311511122,0.2605800235210325,-2054337.5626412383
0.005,0.001,0.002,2737034.3115111217,2637.034311511122,0.2605800235210325,-2054337.5626412383
0.01,0.002,0.0015,2737034.3115111217,2637.034311511122,0.2605800235210325,-2054337.5626412383
0.01,0.002,0.001,2737034.3115111217,2637.034311511122,0.2605800235210325,-2054337.5626412383
0.01,0.002,0.002,2737034.3115111217,2637.034311511122,0.2605800235210325,-2054337.5626412383
0.01,0.0015,0.001,5413447.484594412,5313.447484594411,0.18357250068200662,-6128041.078197742
0.01,0.0015,0.0015,5413447.484594412,5313.447484594411,0.18357250068200662,-6128041.078197742
0.01,0.0015,0.002,5413447.484594412,5313.447484594411,0.18357250068200662,-6128041.078197742
0.01,0.001,0.001,11593906.984213969,11493.906984213969,0.09329143068970913,-26184946.447809853
0.01,0.001,0.0015,11593906.984213969,11493.906984213969,0.09329143068970913,-26184946.447809853
0.01,0.001,0.002,11593906.984213969,11493.906984213969,0.09329143068970913,-26184946.447809853
